iter	Passed	Remaining
0	125	125351
1	188	93847
2	234	78006
3	285	71035
4	332	66195
5	382	63378
6	426	60519
7	465	57724
8	506	55728
9	554	54941
10	627	56414
11	681	56117
12	730	55459
13	784	55256
14	827	54369
15	876	53915
16	920	53245
17	965	52646
18	1018	52591
19	1065	52198
20	1104	51488
21	1146	50986
22	1185	50340
23	1226	49858
24	1269	49509
25	1310	49094
26	1349	48649
27	1395	48454
28	1439	48196
29	1484	47992
30	1525	47677
31	1564	47334
32	1603	46976
33	1643	46705
34	1690	46603
35	1730	46325
36	1778	46301
37	1824	46180
38	1900	46839
39	1954	46917
40	1995	46686
41	2041	46563
42	2085	46404
43	2133	46353
44	2183	46330
45	2221	46077
46	2264	45921
47	2307	45757
48	2345	45528
49	2388	45389
50	2436	45337
51	2488	45374
52	2533	45261
53	2581	45216
54	2620	45022
55	2656	44778
56	2691	44531
57	2749	44652
58	2790	44503
59	2829	44336
60	2880	44343
61	2921	44199
62	2964	44085
63	3002	43912
64	3040	43734
65	3081	43605
66	3120	43456
67	3163	43358
68	3200	43180
69	3236	42999
70	3274	42841
71	3311	42682
72	3347	42502
73	3385	42358
74	3424	42238
75	3468	42164
76	3506	42031
77	3545	41907
78	3581	41754
79	3617	41606
80	3654	41466
81	3687	41282
82	3729	41206
83	3769	41100
84	3806	40971
85	3844	40857
86	3880	40728
87	3920	40635
88	3962	40562
89	4001	40461
